11   -0.424644 0.749986 1.06031 0.784219 -0.262998 0.276202 0.530837 -0.354318 0.568468 1.20183 -0.75687 0.138033 -1.07952 0.940943 -0.0464118 0.32807 -1.45102 -0.226226 0.141681 -1.35513 0.177636 1.59722 0.567186 0.333743 0.333946 -0.139584 -0.286478 0.623318 -0.467722 -1.13427 -1.24386 -0.128081 0.439346 -1.11511 0.0755082 -0.306279 0.046517 0.462452 1.06256 0.0462387 -0.633268 -0.00359448 0.0831369 0.478041 0.260739 -0.74558 -0.405477 -0.228267 -0.410855 0.0698272 0.943213 -1.69477 -0.316737 -1.84989 1.28307 0.171448 -0.374578 -0.380244 -1.83203 -0.218669 -0.345974 -0.836917 -0.130955 0.280748 0.944297 1.47833 -0.279518 1.06795 1.40681 -0.0950159 -1.16886 -0.573579 -0.595675 0.0430067 -1.1559 -1.4081 1.06701 -1.29441 -1.3925 -0.231877 -2.07529 -0.935797 0.715577 0.771042 -1.42387 0.0246247 -1.32688 -1.7979 0.38421 0.266928 0.661498 -0.198014 -1.36328 1.26589 -0.0341403 -2.32322 -0.390981 -0.554469 0.0987431 -2.7946 
12   -1.01562 0.542259 1.31181 0.625412 -0.315621 -0.0210281 0.749803 -0.143933 0.909527 1.31346 -1.11788 -0.198872 -0.818643 0.840975 0.0842033 0.151295 -1.32857 0.138406 0.0663831 -1.34747 0.0322326 1.5523 0.150609 0.405153 0.042248 -0.174427 -0.264251 0.362227 -0.173721 -1.2194 -1.32704 0.14349 0.170721 -1.09564 -0.302065 -0.573872 -0.000807262 0.377015 0.874322 0.0826123 -0.465096 -0.220434 0.057822 0.13182 0.245993 -0.436507 -0.453213 -0.371818 -0.312446 0.0979815 0.705258 -2.05931 -0.574013 -1.66779 0.937445 0.126568 -0.374739 -0.5979 -1.39658 0.260658 -0.621524 -1.04482 -0.118235 0.472957 1.16462 1.51881 -0.233951 1.15852 1.40916 -0.715277 -1.10855 -0.511839 -0.716306 0.0478228 -1.15735 -1.76383 0.995721 -1.57942 -1.35334 -0.733688 -1.87997 -0.83977 0.522934 0.568365 -1.63742 -0.0483077 -1.12738 -1.50364 0.0702495 -0.0811488 0.753255 0.139338 -1.55239 0.975531 -0.283274 -2.13264 -0.325894 -0.587244 0.457949 -2.4673 
13   -1.04158 0.531377 1.02277 0.599662 -0.367893 -0.0727092 1.18785 -0.0985238 0.583457 1.31354 -0.988459 -0.0896102 -1.09951 1.24168 0.0132509 0.0220182 -1.3574 0.177439 0.0240264 -1.42883 -0.115718 1.55782 -0.147012 0.240324 0.172009 0.275041 -0.804003 0.560083 -0.102718 -1.55859 -1.22106 -0.190886 0.190706 -0.929547 -0.401432 -0.233409 0.262636 0.35728 0.782698 -0.358263 -0.700676 0.170327 0.0706137 0.24591 0.812803 -0.032614 -0.96068 -0.431169 -0.3626 -0.209117 0.71393 -2.1916 -0.338387 -1.42838 1.33103 0.388436 -0.397271 -0.887108 -0.935418 0.163863 -0.507625 -0.963608 -0.0472094 0.46148 1.17901 1.68506 -0.0677392 1.23345 1.80435 -0.233353 -0.915302 -0.759864 -0.786159 0.0148974 -0.72322 -1.3845 1.36386 -1.62759 -1.14351 -0.645514 -2.04914 -0.619101 0.521788 0.380218 -1.3376 -0.246844 -1.59623 -1.34548 0.0797204 -0.347665 1.00059 0.418333 -1.63566 1.02702 -0.0639958 -2.19108 -0.43467 -0.200856 0.892153 -2.60417 
14   -1.17528 0.684586 0.658543 0.984381 -0.166267 0.283313 1.43461 0.1023 0.435666 1.69169 -1.21717 -0.146624 -0.685147 1.85534 0.162633 0.112793 -1.29417 0.438017 -0.261567 -1.55106 -0.153128 1.62639 0.120235 0.178 0.217223 0.0937927 -0.898391 0.794334 -0.325624 -1.79747 -0.87602 -0.227786 0.0276917 -1.08758 -0.2929 -0.0526431 0.351295 0.478425 1.20349 0.0779852 -0.442303 0.553409 0.233754 0.284147 1.09927 -0.134442 -0.936761 0.0781964 -0.988404 -0.139055 0.45625 -2.3672 -0.10914 -1.68701 1.45367 0.234777 -0.459156 -0.759388 -0.859252 0.127286 -0.381973 -1.03045 0.0702208 0.172314 1.3213 1.568 -0.332602 1.15384 1.91485 -0.0144143 -0.813375 -0.810984 -0.832123 0.214506 -1.38157 -1.66764 1.03012 -1.51649 -1.31951 -0.552471 -2.20352 -0.878767 0.77565 0.75919 -1.1874 -0.542437 -1.71281 -0.806491 -0.108061 -0.48147 0.868276 0.24723 -1.9325 1.0672 -0.0831013 -2.07313 -0.355714 -0.176029 0.954133 -2.51142 
15   -0.950115 0.617485 1.31105 1.00316 0.0194835 0.347822 0.721394 0.267507 0.4993 1.65291 -1.185 -0.609564 -0.32519 2.06958 0.222427 0.289857 -1.69698 0.822173 0.0277857 -1.0917 0.0812067 1.93834 -0.0892104 0.201517 0.749767 0.261285 -0.88828 0.61301 -0.638542 -2.05169 -0.933811 -0.34674 0.275787 -0.979543 -0.338714 -0.228822 0.280243 0.395021 1.15708 -0.488767 -0.277422 0.777171 0.183349 0.247303 0.918947 0.0718157 -1.11889 0.00657489 -1.24945 0.158933 0.858644 -2.3972 -0.0616451 -1.75754 1.57601 -0.0485315 -0.212091 -1.10371 -0.990219 -0.188156 -0.228589 -0.323303 0.247422 0.0293244 1.41621 1.6589 -0.613458 1.21128 1.81399 0.402658 -1.24482 -0.7284 -0.683398 0.0334863 -1.38092 -1.86974 1.43956 -1.43621 -1.36895 -0.698205 -2.09148 -0.779872 0.845941 0.792564 -1.00411 -0.169851 -1.50314 -0.59091 -0.47521 -0.471127 0.874639 -0.0221536 -2.27496 1.27617 0.418106 -2.36484 -0.32688 0.100885 0.693151 -2.57429 
16   -0.834202 0.977953 1.08042 1.16209 -0.199393 0.681801 0.581935 0.229498 0.399293 1.50208 -0.956562 -0.073936 -0.624787 1.91824 0.244231 0.427433 -1.67302 0.77585 0.0418391 -0.674246 0.341447 2.18371 -0.401238 0.0823883 0.705665 0.247849 -1.15673 0.87053 -1.10452 -2.31239 -0.792041 -0.163019 0.349627 -0.888899 -0.536243 -0.186964 0.164592 0.197063 1.37454 -0.54683 0.16034 1.11562 0.331786 0.257787 0.388437 0.228557 -0.978091 0.373178 -0.796389 0.0020943 0.645688 -2.47423 -0.194132 -1.45828 2.21672 0.18667 -0.286071 -1.10627 -0.625871 -0.637686 0.00513142 -0.967104 0.0430044 -0.28148 1.19291 1.54823 -0.540321 1.5173 1.64217 0.189516 -1.24952 -1.06831 -0.541478 -0.15021 -1.86225 -1.61296 0.804052 -1.78294 -1.32095 -0.546831 -2.07368 -0.946079 0.476722 0.492416 -0.707265 -0.156799 -1.78294 -0.623777 -0.557397 -0.425137 0.887905 0.0371362 -2.71398 0.982799 0.357079 -2.50987 0.227853 -0.0717412 0.943573 -2.14038 
17   -0.681683 1.11893 1.44541 1.21906 0.095133 0.35585 0.369805 0.222529 0.405191 1.42737 -0.824528 0.308533 -0.430941 1.78777 -0.245761 0.214792 -1.55444 0.736732 -0.197077 -0.44383 0.472524 2.52568 -0.247522 0.257509 0.643199 0.0495359 -0.941797 1.4688 -0.675177 -1.97827 -0.800004 -0.244254 0.701544 -0.724104 -0.685266 -0.404504 0.174324 0.254913 1.28736 -0.202978 -0.0377122 1.30574 0.219046 0.161406 0.6095 -0.0373065 -1.0148 0.502551 -0.780183 0.485421 0.504974 -1.95243 -0.419896 -1.11836 2.4401 0.322846 0.219122 -1.06615 -0.600448 -0.649531 -0.130222 -0.910445 0.0266409 -0.312377 1.40594 1.15104 -0.437538 1.66865 1.38211 0.443536 -1.15203 -0.942289 -0.437855 -0.221953 -1.83665 -1.36429 1.10673 -1.83349 -1.30628 -0.541563 -2.10423 -0.804151 0.565936 0.380164 -0.598938 -0.628314 -1.86701 -0.445029 -0.695343 -0.514387 0.975705 0.324949 -2.94386 1.34194 0.328335 -2.14218 0.329809 0.317779 0.825675 -2.12323 
18   -0.7923 0.933183 1.93254 0.706378 -0.0346569 -0.00254744 0.412183 -0.220712 0.611915 1.62395 -0.616821 0.462934 -0.217427 2.04269 -0.40991 0.111838 -1.64133 0.897093 -0.337781 -0.17092 0.289352 2.13627 -0.117219 0.509828 0.679975 -0.134296 -0.879307 1.56924 -0.287452 -1.69519 -0.778854 -0.240232 0.507272 -0.757747 -0.573125 -0.749572 0.132301 0.0565936 1.2468 -0.106466 -0.0359843 1.41307 0.416703 0.132565 0.715286 0.0547229 -1.14103 0.0968994 -0.573778 0.645625 0.573667 -1.99751 -0.380233 -0.827466 2.22107 0.342417 -0.202364 -1.04367 -0.705494 -0.344088 0.180243 -0.657576 -0.225742 0.127295 1.795 0.9005 0.179998 1.65196 1.1265 0.412971 -1.24437 -0.875914 -0.65285 -0.238531 -1.84009 -1.37626 1.17925 -2.05745 -1.38805 -0.516213 -1.80089 -0.707525 1.06314 0.665304 -1.17397 -0.427461 -2.03348 -0.683811 -0.798426 -1.05259 0.722221 0.225679 -2.83529 1.4814 0.607857 -2.30877 0.4644 0.141548 0.493664 -2.04222 
19   -0.575629 0.931827 1.77259 0.621061 -0.0766875 0.0131179 0.362005 0.356555 0.459038 1.92356 -0.71441 0.402293 -0.147321 2.0691 -0.300496 -0.0737895 -1.77393 0.48909 -0.592972 -0.33403 0.606215 2.34462 -0.280545 0.418459 0.693086 0.0694103 -0.355837 1.76373 -0.187277 -2.01004 -0.822221 -0.0824617 0.871539 -0.925436 -0.188474 -0.62002 0.350839 0.143642 1.75993 -0.420814 0.0170214 1.00924 0.490863 0.00149416 0.476691 -0.00827028 -1.02088 0.0557703 0.0192175 0.996982 0.96907 -1.68249 -0.156219 -1.11805 2.42989 0.821908 0.11688 -1.24015 -0.827809 -0.54646 0.228663 -0.910902 -0.490031 -0.0402571 2.2597 0.798954 0.2056 1.76352 1.04604 0.20537 -1.26023 -0.457115 -0.609608 -0.760836 -1.74136 -0.790872 1.34929 -1.86219 -1.39361 -0.669543 -1.54439 -0.445857 0.78352 0.57745 -1.08912 -0.41379 -2.35177 -0.806183 -0.816651 -0.954202 0.467115 0.394908 -2.64956 1.4629 0.876559 -2.1556 0.329625 -0.118508 0.81135 -1.86476 
20   -0.51379 1.18158 2.1233 0.797962 0.0936192 0.0776961 0.175753 0.354509 0.601032 1.91758 -0.536584 0.38802 0.319794 2.10634 -0.631569 0.264139 -2.18451 0.801997 -0.215797 -0.300534 0.366466 1.9697 -0.169478 0.454823 1.13218 -0.0801326 -0.325373 1.98582 -0.0112561 -1.75754 -0.800489 -0.0323902 1.03346 -1.0227 -0.0115465 -0.753898 0.579969 -0.221859 1.68765 0.0656457 0.0489741 1.01205 0.451323 0.262145 0.521898 0.370226 -1.22659 0.0445107 0.2214 0.51018 1.37149 -1.60521 -0.667531 -1.52762 2.26073 0.973227 0.12267 -1.02399 -0.796366 -0.204042 0.325542 -0.704477 -0.58397 -0.20537 2.33697 0.827469 0.309759 1.60536 1.0284 -0.117847 -1.46362 -0.486107 -0.754458 -0.856663 -1.55984 -0.804569 1.67337 -1.86435 -1.00572 -0.90084 -1.47602 -0.672758 0.531546 0.598208 -0.783921 -0.148984 -2.21926 -0.457047 -0.647874 -0.876792 0.343295 0.456556 -2.61673 1.49225 0.789405 -1.86853 0.344899 -0.000673116 1.0324 -1.96979 
